"CNTSTUID","ST097Q01TA","ST218Q03HA","ST218Q02HA","ST218Q06HA","ST218Q04HA","ST206Q04HA","ST206Q02HA","ST153Q03HA","ST176Q06IA","ST206Q01HA","ST176Q06IA_scaled","ST153Q03HA_scaled","Communication_Score","Collaboration_Score"
3605516,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
3606430,3,3,3,NA,3,3,3,1,2,3,1.75,4,3,2.95
3607842,4,4,4,3,3,3,3,2,3,3,2.5,1,3.6,2.5
3608956,3,3,3,3,3,4,4,1,2,4,1.75,4,3,3.55
3610126,3,2,2,2,1,3,3,2,5,3,4,1,2,2.8
3610996,4,4,4,4,4,NA,NA,1,4,NA,3.25,4,4,3.625
3611097,2,4,4,4,4,2,3,2,2,3,1.75,1,3.6,2.15
3611613,3,3,2,3,3,3,3,1,4,3,3.25,4,2.8,3.25
3616473,4,4,4,4,4,3,3,2,4,3,3.25,1,4,2.65
3616956,3,4,4,4,3,3,NA,2,2,3,1.75,1,3.6,2.1875
3616990,2,3,3,3,3,2,2,2,1,2,1,1,2.8,1.6
3617711,3,2,3,2,3,2,2,2,3,2,2.5,1,2.6,1.9
3617874,3,3,3,3,3,3,2,2,2,2,1.75,1,3,1.95
3618009,2,4,4,4,4,3,3,2,1,3,1,1,3.6,2.2
3619742,2,3,3,3,3,3,3,1,5,4,4,4,2.8,3.6
3620379,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
3601329,1,4,3,3,3,3,4,2,2,3,1.75,1,2.8,2.55
3602285,3,3,3,3,3,4,4,1,4,4,3.25,4,3,3.85
3603215,3,3,4,3,3,3,3,1,4,3,3.25,4,3.2,3.25
3603867,2,3,3,3,3,3,2,1,4,2,3.25,4,2.8,2.85
3604975,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
3605672,3,3,3,3,3,3,3,2,3,3,2.5,1,3,2.5
3606533,3,3,3,4,4,4,3,1,4,3,3.25,4,3.4,3.45
3607808,3,4,4,4,4,3,3,2,2,3,1.75,1,3.8,2.35
3608022,4,3,1,3,4,2,2,1,1,2,1,4,3,2.2
3608439,3,4,4,4,4,3,3,1,1,2,1,4,3.8,2.6
3610644,3,4,4,4,4,3,3,1,3,3,2.5,4,3.8,3.1
3611284,2,4,3,3,3,3,2,1,2,2,1.75,4,3,2.55
3612451,2,4,3,4,4,4,3,2,5,3,4,1,3.4,3
3613488,2,3,3,3,3,2,3,1,5,2,4,4,2.8,3
3615101,1,3,3,3,3,3,3,1,4,3,3.25,4,2.6,3.25
3618184,2,4,4,4,4,2,2,2,2,2,1.75,1,3.6,1.75
3620843,3,3,3,3,3,4,4,1,4,4,3.25,4,3,3.85
3621945,2,4,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3622128,4,3,3,3,3,2,3,1,2,2,1.75,4,3.2,2.55
3622205,2,3,2,2,2,2,2,2,2,2,1.75,1,2.2,1.75
3600636,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2.5,NA,3,2.5
3602830,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
3603562,3,3,3,3,3,4,4,1,4,4,3.25,4,3,3.85
3606870,2,3,3,4,4,4,3,1,2,2,1.75,4,3.2,2.95
3607286,4,4,4,4,4,3,3,1,2,2,1.75,4,4,2.75
3610236,3,3,3,3,3,3,2,1,4,3,3.25,4,3,3.05
3610584,4,4,4,4,4,3,3,1,5,3,4,4,4,3.4
3610791,2,4,4,4,3,2,1,2,2,2,1.75,1,3.4,1.55
3611581,3,3,3,NA,4,3,3,1,4,2,3.25,4,3.25,3.05
3612738,3,4,4,3,3,2,3,2,2,3,1.75,1,3.4,2.15
3612774,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3616286,3,4,3,4,4,4,4,2,2,4,1.75,1,3.6,2.95
3616552,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
3618841,3,3,3,3,3,NA,NA,2,2,NA,1.75,1,3,1.375
3619073,4,4,3,3,4,3,2,2,2,3,1.75,1,3.6,2.15
3619332,4,4,4,4,4,3,3,1,2,3,1.75,4,4,2.95
3619570,2,3,2,3,3,3,3,1,1,3,1,4,2.6,2.8
3619653,1,3,3,3,3,3,3,1,5,3,4,4,2.6,3.4
3619723,3,4,4,4,3,3,2,1,2,3,1.75,4,3.6,2.75
3620019,3,3,3,3,3,2,2,2,2,2,1.75,1,3,1.75
3620676,3,3,3,3,3,2,2,NA,4,2,3.25,NA,3,2.3125
3621901,3,3,3,3,3,2,2,1,2,2,1.75,4,3,2.35
3601170,1,3,3,3,3,3,2,2,2,3,1.75,1,2.6,2.15
3601977,3,3,3,3,3,2,3,1,4,4,3.25,4,3,3.25
3603749,4,4,4,4,4,3,3,2,5,3,4,1,4,2.8
3606548,4,4,3,4,4,3,3,2,2,3,1.75,1,3.8,2.35
3607057,4,4,4,4,4,4,3,1,3,3,2.5,4,4,3.3
3607475,4,4,3,4,4,3,3,1,2,3,1.75,4,3.8,2.95
3609027,3,2,3,2,2,NA,NA,1,4,NA,3.25,4,2.4,3.625
3609065,2,NA,NA,NA,NA,NA,NA,1,4,NA,3.25,4,2,3.625
3610828,3,3,3,3,3,3,3,2,3,3,2.5,1,3,2.5
3612526,3,3,3,1,2,3,3,2,2,3,1.75,1,2.4,2.35
3613219,2,3,3,3,3,2,1,2,5,2,4,1,2.8,2
3613789,3,3,3,3,3,3,2,2,2,2,1.75,1,3,1.95
3614092,3,3,4,4,4,NA,NA,2,2,NA,1.75,1,3.6,1.375
3614276,3,2,3,3,3,3,3,2,2,3,1.75,1,2.8,2.35
3614318,4,4,4,4,4,3,3,1,4,3,3.25,4,4,3.25
3616073,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
3616309,3,4,4,4,4,4,4,2,4,4,3.25,1,3.8,3.25
3616593,2,3,4,3,3,3,3,1,4,3,3.25,4,3,3.25
3618749,3,4,4,4,4,3,2,2,NA,3,NA,1,3.8,2.25
3619572,3,3,3,3,3,NA,NA,2,5,NA,4,1,3,2.5
3621089,4,4,3,4,4,4,4,1,5,4,4,4,3.8,4
3600081,3,3,3,3,3,NA,NA,1,5,NA,4,4,3,4
3603391,1,3,3,3,3,3,3,1,4,3,3.25,4,2.6,3.25
3603818,3,1,1,1,1,2,2,2,2,2,1.75,1,1.4,1.75
3604660,2,3,2,3,3,2,2,1,4,2,3.25,4,2.6,2.65
3608460,3,2,3,2,3,4,2,1,3,2,2.5,4,2.6,2.9
3610868,3,4,3,3,4,4,3,2,1,3,1,1,3.4,2.4
3611268,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
3611835,2,2,2,2,2,2,2,1,4,2,3.25,4,2,2.65
3614377,1,2,3,3,3,3,2,2,5,3,4,1,2.4,2.6
3614586,3,3,3,2,3,3,3,1,5,3,4,4,2.8,3.4
3617446,2,4,3,3,3,3,3,1,4,3,3.25,4,3,3.25
3618109,3,3,3,3,3,2,3,2,1,2,1,1,3,1.8
3620103,4,3,3,3,3,2,2,2,4,2,3.25,1,3.2,2.05
3621575,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
3621740,3,3,3,2,4,2,3,1,5,3,4,4,3,3.2
3601206,4,4,3,4,4,NA,NA,1,5,NA,4,4,3.8,4
3603778,3,3,3,3,3,2,2,1,3,2,2.5,4,3,2.5
3603877,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
3604306,2,3,3,3,3,2,3,2,4,2,3.25,1,2.8,2.25
3604909,1,4,3,3,3,3,3,1,2,2,1.75,4,2.8,2.75
3605512,1,1,2,1,1,2,1,1,2,2,1.75,4,1.2,2.15
3605923,4,4,4,4,4,NA,NA,2,5,NA,4,1,4,2.5
3607644,1,2,3,3,2,4,4,2,NA,4,NA,1,2.2,3.25
3607649,1,4,4,4,4,1,1,1,1,1,1,4,3.4,1.6
3609934,3,3,3,3,3,3,3,1,1,3,1,4,3,2.8
3610097,3,4,4,4,4,NA,NA,1,4,NA,3.25,4,3.8,3.625
3610499,1,3,2,2,4,NA,NA,1,5,NA,4,4,2.4,4
3611654,2,3,3,3,3,4,4,2,3,4,2.5,1,2.8,3.1
3615890,2,4,3,3,4,3,3,1,4,3,3.25,4,3.2,3.25
3618236,3,3,3,4,3,3,2,1,3,2,2.5,4,3.2,2.7
3619694,1,3,3,3,3,3,3,2,3,3,2.5,1,2.6,2.5
3600567,3,3,3,3,3,NA,NA,2,2,NA,1.75,1,3,1.375
3601250,4,4,3,4,4,1,1,2,2,2,1.75,1,3.8,1.35
3601780,3,3,3,3,3,NA,NA,1,1,NA,1,4,3,2.5
3602169,3,NA,NA,NA,NA,NA,NA,2,2,NA,1.75,1,3,1.375
3603478,3,3,3,3,3,NA,NA,1,2,NA,1.75,4,3,2.875
3603709,3,3,3,3,3,3,3,2,4,3,3.25,1,3,2.65
3603828,3,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,1
3603927,2,3,3,3,3,2,2,2,5,1,4,1,2.8,2
3605946,3,3,3,3,3,3,2,2,2,2,1.75,1,3,1.95
3607951,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
3608155,3,3,3,2,2,1,2,2,2,1,1.75,1,2.6,1.35
3609524,3,3,3,3,3,NA,NA,2,2,NA,1.75,1,3,1.375
3609898,2,3,3,3,3,2,2,2,2,2,1.75,1,2.8,1.75
3613514,3,4,4,3,3,NA,NA,1,1,NA,1,4,3.4,2.5
3614697,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
3615522,3,3,3,3,3,3,3,2,5,2,4,1,3,2.6
3615584,2,4,2,3,2,2,2,2,2,2,1.75,1,2.6,1.75
3617253,3,4,3,4,4,2,4,2,3,2,2.5,1,3.6,2.3
3620288,3,3,3,3,3,2,2,2,2,2,1.75,1,3,1.75
3621354,1,4,4,4,4,4,4,2,3,4,2.5,1,3.4,3.1
3622747,3,3,3,3,2,3,3,2,2,3,1.75,1,2.8,2.35
3600140,3,3,3,3,3,3,3,1,5,3,4,4,3,3.4
3605772,3,4,3,3,4,3,2,1,3,2,2.5,4,3.4,2.7
3605811,4,3,3,3,3,NA,NA,2,4,NA,3.25,1,3.2,2.125
3607213,3,3,3,3,3,3,3,2,4,3,3.25,1,3,2.65
3608314,2,3,4,3,2,NA,NA,2,3,NA,2.5,1,2.8,1.75
3608697,1,3,3,3,4,3,2,1,2,3,1.75,4,2.8,2.75
3609382,2,3,3,3,3,4,4,1,2,4,1.75,4,2.8,3.55
3612065,2,3,2,NA,2,NA,NA,1,4,NA,3.25,4,2.25,3.625
3612223,2,3,3,2,2,3,3,1,3,3,2.5,4,2.4,3.1
3612459,3,4,3,4,4,3,3,2,3,3,2.5,1,3.6,2.5
3612696,3,3,3,3,3,2,2,1,2,2,1.75,4,3,2.35
3614449,3,4,4,3,3,1,1,2,2,1,1.75,1,3.4,1.15
3615531,3,3,3,2,3,3,3,1,1,3,1,4,2.8,2.8
3615687,1,3,3,4,3,3,3,2,4,3,3.25,1,2.8,2.65
3615739,3,2,4,4,NA,4,4,1,5,4,4,4,3.25,4
3616861,4,3,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
3616945,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3617505,4,3,3,3,3,3,2,1,3,3,2.5,4,3.2,2.9
3618155,4,4,4,4,4,2,2,2,4,2,3.25,1,4,2.05
3619156,3,3,3,3,4,3,3,2,5,3,4,1,3.2,2.8
3621159,3,2,1,2,4,3,3,2,2,3,1.75,1,2.4,2.35
3621934,3,3,3,3,3,2,1,1,2,2,1.75,4,3,2.15
3622727,3,4,3,4,4,NA,NA,2,4,NA,3.25,1,3.6,2.125
3600579,3,3,3,2,2,2,2,1,3,2,2.5,4,2.6,2.5
3604784,2,3,3,3,3,3,3,1,2,3,1.75,4,2.8,2.95
3605562,3,2,2,2,2,2,2,1,2,3,1.75,4,2.2,2.55
3605671,3,3,3,3,3,2,2,1,2,2,1.75,4,3,2.35
3607355,3,3,3,3,3,NA,3,1,2,3,1.75,4,3,2.9375
3607533,3,4,3,3,3,3,2,1,2,3,1.75,4,3.2,2.75
3614829,3,4,4,4,4,3,3,1,5,2,4,4,3.8,3.2
3615382,2,3,3,3,3,3,3,1,4,3,3.25,4,2.8,3.25
3618326,3,3,3,3,3,2,2,1,3,2,2.5,4,3,2.5
3619093,2,4,4,4,4,2,1,1,2,1,1.75,4,3.6,1.95
3619787,3,3,3,3,3,2,2,1,2,2,1.75,4,3,2.35
3621309,3,3,3,2,3,3,3,1,3,3,2.5,4,2.8,3.1
3600355,2,3,3,3,3,3,3,1,3,3,2.5,4,2.8,3.1
3601294,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3601656,3,4,4,4,4,3,3,1,2,3,1.75,4,3.8,2.95
3601668,2,3,3,3,3,1,1,2,5,1,4,1,2.8,1.6
3602887,3,1,1,1,1,3,2,1,5,2,4,4,1.4,3
3603186,3,3,3,3,3,1,3,2,3,3,2.5,1,3,2.1
3603432,3,3,3,3,3,3,3,2,2,2,1.75,1,3,2.15
3604050,3,4,4,4,4,3,3,1,5,3,4,4,3.8,3.4
3604579,1,4,4,4,4,2,2,2,4,2,3.25,1,3.4,2.05
3605474,2,4,3,3,3,2,3,1,2,3,1.75,4,3,2.75
3605643,3,2,3,3,2,2,3,1,4,3,3.25,4,2.6,3.05
3606055,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
3610111,1,2,2,2,3,1,1,2,2,2,1.75,1,2,1.35
3610425,3,3,3,3,3,4,4,1,4,4,3.25,4,3,3.85
3610463,3,3,3,2,2,2,2,1,5,3,4,4,2.6,3
3614261,3,3,2,3,3,3,3,1,5,2,4,4,2.8,3.2
3614337,3,4,3,4,4,3,3,2,2,3,1.75,1,3.6,2.35
3619402,3,4,4,4,4,4,3,1,4,3,3.25,4,3.8,3.45
3619990,3,4,4,4,4,3,3,1,2,3,1.75,4,3.8,2.95
3621239,3,3,3,2,3,2,2,2,3,2,2.5,1,2.8,1.9
3600631,1,3,2,2,3,3,3,2,2,3,1.75,1,2.2,2.35
3600782,2,4,4,4,4,3,3,1,3,2,2.5,4,3.6,2.9
3601767,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3602572,2,3,3,4,4,2,2,1,1,2,1,4,3.2,2.2
3603508,1,2,2,2,3,2,3,2,4,2,3.25,1,2,2.25
3604955,3,3,3,3,3,2,2,1,3,2,2.5,4,3,2.5
3607503,1,4,4,4,4,1,1,1,1,1,1,4,3.4,1.6
3609571,2,3,3,3,3,3,4,1,5,4,4,4,2.8,3.8
3609662,2,3,3,3,3,2,2,1,5,2,4,4,2.8,2.8
3609854,1,3,3,3,3,3,3,2,3,3,2.5,1,2.6,2.5
3610342,1,4,3,3,4,3,2,1,4,2,3.25,4,3,2.85
3610906,1,3,3,3,3,2,2,1,5,2,4,4,2.6,2.8
3611291,2,3,3,3,2,3,3,2,5,2,4,1,2.6,2.6
3612573,3,3,3,2,2,3,3,1,4,3,3.25,4,2.6,3.25
3614201,2,3,4,3,2,NA,NA,2,2,NA,1.75,1,2.8,1.375
3617842,3,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,1
3617992,3,3,3,3,3,2,2,2,2,2,1.75,1,3,1.75
3618680,1,3,3,3,3,NA,1,2,2,1,1.75,1,2.6,1.1875
3619119,2,3,3,3,4,3,2,1,4,1,3.25,4,3,2.65
3619322,2,3,3,3,3,2,2,1,3,2,2.5,4,2.8,2.5
3619379,2,4,4,4,3,NA,NA,2,2,NA,1.75,1,3.4,1.375
3620042,2,NA,2,2,3,NA,NA,2,3,NA,2.5,1,2.25,1.75
3621812,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3600364,4,3,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
3601937,2,3,3,3,3,3,3,2,3,3,2.5,1,2.8,2.5
3602100,2,3,3,NA,3,3,3,1,4,3,3.25,4,2.75,3.25
3604167,2,3,3,2,3,3,3,2,4,3,3.25,1,2.6,2.65
3604894,1,1,1,1,1,1,1,1,1,1,1,4,1,1.6
3607660,3,3,3,2,4,3,3,1,2,3,1.75,4,3,2.95
3610278,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
3611160,3,3,4,3,3,3,3,1,2,4,1.75,4,3.2,3.15
3611202,2,4,4,4,4,3,3,1,1,3,1,4,3.6,2.8
3612288,2,3,3,3,3,2,2,2,3,1,2.5,1,2.8,1.7
3613900,3,3,2,3,3,2,2,1,3,2,2.5,4,2.8,2.5
3614168,3,3,3,3,3,2,2,1,5,2,4,4,3,2.8
3614266,3,4,4,4,4,3,3,1,2,3,1.75,4,3.8,2.95
3614943,3,3,3,3,4,3,3,2,2,3,1.75,1,3.2,2.35
3615645,3,3,3,2,4,3,3,2,3,2,2.5,1,3,2.3
3617671,3,3,4,3,2,2,2,1,2,2,1.75,4,3,2.35
3618391,3,2,3,3,2,2,2,1,4,2,3.25,4,2.6,2.65
3620451,3,3,3,3,3,NA,4,1,4,4,3.25,4,3,3.8125
3622086,3,3,3,3,4,3,3,1,5,3,4,4,3.2,3.4
3622571,2,4,3,3,4,4,4,1,2,3,1.75,4,3.2,3.35
3603662,3,NA,NA,NA,NA,NA,NA,1,4,NA,3.25,4,3,3.625
3606091,3,4,3,3,3,4,4,1,3,3,2.5,4,3.2,3.5
3608591,3,4,3,3,4,3,3,1,2,3,1.75,4,3.4,2.95
3613173,4,4,3,3,3,4,3,1,2,3,1.75,4,3.4,3.15
3614222,1,3,3,3,3,2,2,2,4,2,3.25,1,2.6,2.05
3615240,3,3,3,3,4,3,3,2,2,3,1.75,1,3.2,2.35
3617118,3,3,3,3,3,NA,NA,1,3,NA,2.5,4,3,3.25
3618246,3,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,3,1
3618268,3,3,3,2,3,3,3,1,4,3,3.25,4,2.8,3.25
3621481,3,3,3,3,3,3,3,2,4,3,3.25,1,3,2.65
3621540,3,3,3,3,3,2,2,2,3,2,2.5,1,3,1.9
3622459,2,1,1,1,1,NA,NA,1,2,NA,1.75,4,1.2,2.875
3622779,NA,1,1,1,1,NA,NA,NA,4,NA,3.25,NA,1,3.25
3600109,3,3,3,4,3,3,3,1,4,3,3.25,4,3.2,3.25
3600131,2,3,3,3,3,3,2,1,1,3,1,4,2.8,2.6
3602119,3,NA,NA,NA,3,NA,NA,1,3,NA,2.5,4,3,3.25
3606950,1,3,3,3,3,2,2,2,2,2,1.75,1,2.6,1.75
3608491,1,3,4,3,3,3,3,2,2,3,1.75,1,2.8,2.35
3608953,2,2,2,2,1,3,3,1,3,3,2.5,4,1.8,3.1
3609816,3,4,4,4,1,3,2,1,4,2,3.25,4,3.2,2.85
3611139,3,3,2,2,2,3,3,1,3,3,2.5,4,2.4,3.1
3611809,3,4,4,4,3,3,2,1,3,3,2.5,4,3.6,2.9
3611820,3,3,3,4,4,3,3,1,2,3,1.75,4,3.4,2.95
3613662,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
3614967,3,3,3,3,3,NA,NA,1,2,NA,1.75,4,3,2.875
3615425,2,3,3,3,3,1,2,2,2,1,1.75,1,2.8,1.35
3616271,3,3,3,3,4,3,3,2,2,3,1.75,1,3.2,2.35
3616341,1,3,2,2,2,3,3,2,1,3,1,1,2,2.2
3620500,2,3,3,2,2,NA,NA,2,2,NA,1.75,1,2.4,1.375
3621122,2,3,3,3,3,1,1,1,4,2,3.25,4,2.8,2.25
3622053,3,4,4,3,4,3,3,1,4,3,3.25,4,3.6,3.25
3622221,1,3,2,3,3,NA,NA,2,5,NA,4,1,2.4,2.5
3602856,1,3,3,3,2,3,3,1,2,2,1.75,4,2.4,2.75
3610561,2,3,3,3,3,3,3,2,5,3,4,1,2.8,2.8
3614555,2,3,3,3,3,3,3,2,2,3,1.75,1,2.8,2.35
3616078,3,2,2,2,1,3,3,2,1,2,1,1,2,2
3618797,3,3,3,3,2,3,3,2,4,3,3.25,1,2.8,2.65
3600202,3,4,4,3,3,3,3,1,3,3,2.5,4,3.4,3.1
3600810,3,3,3,3,2,3,3,1,4,3,3.25,4,2.8,3.25
3601142,2,3,3,3,4,3,2,1,5,3,4,4,3,3.2
3602709,3,4,3,3,4,2,3,1,3,3,2.5,4,3.4,2.9
3604001,3,3,3,3,4,1,1,1,3,1,2.5,4,3.2,1.9
3605409,3,4,4,3,3,3,3,2,4,3,3.25,1,3.4,2.65
3606553,4,4,4,4,4,2,2,2,5,2,4,1,4,2.2
3607062,3,3,2,3,2,3,3,1,4,3,3.25,4,2.6,3.25
3607821,4,1,1,1,1,2,2,1,5,2,4,4,1.6,2.8
3612828,2,3,3,3,3,3,2,1,2,2,1.75,4,2.8,2.55
3612982,3,3,3,3,3,3,3,1,3,2,2.5,4,3,2.9
3613290,1,2,2,2,3,NA,2,2,4,2,3.25,1,2,2.0625
3614909,4,3,3,4,4,3,3,2,2,2,1.75,1,3.6,2.15
3614940,3,3,3,2,3,3,2,1,4,3,3.25,4,2.8,3.05
3615430,1,4,4,4,4,2,2,1,5,1,4,4,3.4,2.6
3616520,2,4,4,4,3,4,4,1,2,4,1.75,4,3.4,3.55
3618000,2,4,3,3,4,3,3,1,1,3,1,4,3.2,2.8
3618932,2,4,4,4,4,3,3,1,3,3,2.5,4,3.6,3.1
3620496,2,3,3,3,4,3,2,1,5,2,4,4,3,3
3600734,2,4,4,3,4,3,3,1,2,3,1.75,4,3.4,2.95
3602982,4,4,4,4,4,4,4,1,2,4,1.75,4,4,3.55
3602988,2,4,4,4,4,3,3,1,2,3,1.75,4,3.6,2.95
3604208,3,4,3,3,4,2,3,1,2,3,1.75,4,3.4,2.75
3604300,3,4,4,4,4,3,3,1,2,3,1.75,4,3.8,2.95
3604587,3,3,3,2,3,3,1,2,5,2,4,1,2.8,2.2
3606945,2,4,3,4,3,3,3,1,2,3,1.75,4,3.2,2.95
3609209,4,3,3,3,3,3,3,1,1,3,1,4,3.2,2.8
3609255,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3609817,4,4,4,4,4,3,3,1,2,3,1.75,4,4,2.95
3610312,3,4,3,4,4,2,2,2,2,2,1.75,1,3.6,1.75
3610793,3,4,4,4,4,4,4,1,2,3,1.75,4,3.8,3.35
3611333,2,3,3,3,2,2,2,1,1,2,1,4,2.6,2.2
3613193,4,3,3,3,3,4,4,NA,2,4,1.75,NA,3.2,3.4375
3614110,3,3,3,3,3,3,3,2,2,3,1.75,1,3,2.35
3614214,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3617938,3,3,3,3,3,1,2,2,2,2,1.75,1,3,1.55
3618684,3,3,2,2,3,3,3,1,3,3,2.5,4,2.6,3.1
3618714,3,3,3,4,4,4,3,2,5,3,4,1,3.4,3
3619006,1,3,3,2,2,3,3,1,5,3,4,4,2.2,3.4
3619437,3,4,4,4,4,4,4,1,5,4,4,4,3.8,4
3619467,3,4,4,4,4,2,3,1,2,3,1.75,4,3.8,2.75
3621231,4,4,3,2,3,4,3,1,4,4,3.25,4,3.2,3.65
3600479,4,4,4,3,3,3,3,1,5,2,4,4,3.6,3.2
3600658,3,2,3,3,2,2,2,2,4,4,3.25,1,2.6,2.45
3602091,3,4,4,4,4,4,4,1,3,4,2.5,4,3.8,3.7
3602162,3,3,3,3,3,3,3,1,2,2,1.75,4,3,2.75
3604261,3,4,4,4,4,4,4,1,4,4,3.25,4,3.8,3.85
3604835,2,3,3,3,3,3,2,2,3,2,2.5,1,2.8,2.1
3606159,4,4,4,4,4,4,3,1,5,3,4,4,4,3.6
3606210,3,3,3,3,3,3,3,2,1,4,1,1,3,2.4
3608149,2,3,3,3,3,3,3,1,3,2,2.5,4,2.8,2.9
3609983,2,4,3,3,4,3,3,1,5,3,4,4,3.2,3.4
3611058,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
3611606,3,3,4,3,4,4,3,1,4,3,3.25,4,3.4,3.45
3611781,3,4,4,4,4,3,2,2,5,2,4,1,3.8,2.4
3612499,4,3,3,3,3,3,3,2,4,3,3.25,1,3.2,2.65
3613507,3,4,4,3,3,2,2,1,5,2,4,4,3.4,2.8
3613822,4,4,3,3,3,3,2,1,2,3,1.75,4,3.4,2.75
3614210,4,4,3,4,4,2,2,1,2,2,1.75,4,3.8,2.35
3615165,3,3,3,3,3,3,3,1,4,3,3.25,4,3,3.25
3616538,1,3,3,2,2,2,3,2,2,3,1.75,1,2.2,2.15
3617388,4,4,3,4,4,4,4,1,2,3,1.75,4,3.8,3.35
3618537,3,3,3,2,2,3,2,2,2,3,1.75,1,2.6,2.15
3620295,2,4,4,4,4,4,2,1,5,2,4,4,3.6,3.2
3600617,3,4,2,3,3,4,4,1,3,4,2.5,4,3,3.7
3600995,2,4,4,4,3,3,3,2,5,3,4,1,3.4,2.8
3601351,3,1,1,1,1,4,4,1,2,4,1.75,4,1.4,3.55
3601504,2,3,3,3,3,3,3,1,3,3,2.5,4,2.8,3.1
3604163,2,3,3,3,3,3,3,1,2,3,1.75,4,2.8,2.95
3604643,4,NA,NA,NA,NA,NA,NA,2,2,NA,1.75,1,4,1.375
3604836,4,3,3,3,3,2,2,2,2,2,1.75,1,3.2,1.75
3606486,2,3,3,3,3,3,3,2,3,3,2.5,1,2.8,2.5
3611141,3,4,4,4,4,4,4,2,3,4,2.5,1,3.8,3.1
3611296,3,3,4,4,3,3,3,1,2,3,1.75,4,3.4,2.95
3612207,3,4,4,4,4,3,3,2,2,4,1.75,1,3.8,2.55
3614818,4,4,4,4,3,3,4,1,2,3,1.75,4,3.8,3.15
3615906,2,1,1,1,2,3,2,2,5,3,4,1,1.4,2.6
3616064,3,4,4,4,4,3,3,1,5,3,4,4,3.8,3.4
3616810,3,3,2,3,4,4,4,2,2,4,1.75,1,3,2.95
3618189,3,4,3,4,3,4,4,2,2,4,1.75,1,3.4,2.95
3619670,1,3,3,2,2,1,2,2,3,3,2.5,1,2.2,1.9
3620018,4,3,3,2,2,3,3,2,2,3,1.75,1,2.8,2.35
3620266,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3621119,3,2,2,2,2,3,3,NA,4,3,3.25,NA,2.2,3.0625
3621259,3,2,3,2,2,2,2,2,2,3,1.75,1,2.4,1.95
3600543,2,3,3,3,3,3,3,2,3,3,2.5,1,2.8,2.5
3601263,3,3,3,3,3,4,4,1,5,4,4,4,3,4
3603231,3,3,3,2,3,4,4,1,4,4,3.25,4,2.8,3.85
3603907,3,3,3,3,3,4,4,2,2,4,1.75,1,3,2.95
3604386,3,3,3,3,1,NA,NA,2,3,NA,2.5,1,2.6,1.75
3604733,3,1,1,1,1,3,3,2,2,3,1.75,1,1.4,2.35
3604945,4,3,3,3,3,NA,NA,2,5,NA,4,1,3.2,2.5
3605019,3,2,2,2,2,3,3,1,3,3,2.5,4,2.2,3.1
3606892,2,3,3,3,3,2,2,1,5,2,4,4,2.8,2.8
3607625,2,4,4,4,3,2,2,1,4,2,3.25,4,3.4,2.65
3610347,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,3,4
3611474,2,4,4,4,3,3,3,1,4,3,3.25,4,3.4,3.25
3612792,4,3,4,4,4,2,2,1,5,2,4,4,3.8,2.8
3615497,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
3619274,3,3,4,3,3,3,3,1,5,3,4,4,3.2,3.4
3619473,3,4,3,3,4,NA,NA,1,2,NA,1.75,4,3.4,2.875
3619624,3,4,3,3,4,4,4,2,2,4,1.75,1,3.4,2.95
3619858,4,3,2,2,2,2,2,1,4,2,3.25,4,2.6,2.65
3619876,3,4,4,4,4,3,3,2,2,3,1.75,1,3.8,2.35
3620065,2,4,4,4,4,1,2,2,5,2,4,1,3.6,2
